"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","GOOGL.Date","Company.Name"
"4013",1525,1526.01001,1500.52002,1503.650024,1545500,1503.650024,"2020-07-28","GOOGLE"
"4014",1505,1533.329956,1503.01001,1523.51001,1133800,1523.51001,"2020-07-29","GOOGLE"
"4015",1497.969971,1540.890015,1495.170044,1538.369995,1802100,1538.369995,"2020-07-30","GOOGLE"
"4016",1497.050049,1505.02002,1454,1487.949951,4573400,1487.949951,"2020-07-31","GOOGLE"
"4017",1491,1497.72998,1471.719971,1482.76001,2274100,1482.76001,"2020-08-03","GOOGLE"
"4018",1486.709961,1493.109985,1464.030029,1473.300049,1860600,1473.300049,"2020-08-04","GOOGLE"
"4019",1476.819946,1490,1471.219971,1479.089966,1456700,1479.089966,"2020-08-05","GOOGLE"
"4020",1476.150024,1506.27002,1471.900024,1504.949951,1665300,1504.949951,"2020-08-06","GOOGLE"
"4021",1509.040039,1520.089966,1486.27002,1498.369995,1385900,1498.369995,"2020-08-07","GOOGLE"
"4022",1490.800049,1507.150024,1477.48999,1496.819946,1027300,1496.819946,"2020-08-10","GOOGLE"
"4023",1494,1510.439941,1478.189941,1480.540039,1554900,1480.540039,"2020-08-11","GOOGLE"
"4024",1487.119995,1511.670044,1485,1507.23999,1125600,1507.23999,"2020-08-12","GOOGLE"
"4025",1508.209961,1536.969971,1508.209961,1516.650024,1119400,1516.650024,"2020-08-13","GOOGLE"
"4026",1513.609985,1519.790039,1499,1504.630005,1097100,1504.630005,"2020-08-14","GOOGLE"
"4027",1515.969971,1523.780029,1505,1516.23999,999500,1516.23999,"2020-08-17","GOOGLE"
"4028",1526.119995,1557.369995,1521.670044,1555.780029,1418900,1555.780029,"2020-08-18","GOOGLE"
"4029",1552.48999,1568.859985,1540,1544.609985,1523600,1544.609985,"2020-08-19","GOOGLE"
"4030",1539.969971,1580.170044,1534.459961,1576.25,1319100,1576.25,"2020-08-20","GOOGLE"
"4031",1571.800049,1591.880005,1562.310059,1575.569946,1741900,1575.569946,"2020-08-21","GOOGLE"
"4032",1592.469971,1608.780029,1575.040039,1585.150024,1281900,1585.150024,"2020-08-24","GOOGLE"
"4033",1580.099976,1608.880005,1577.880005,1605.849976,1257500,1605.849976,"2020-08-25","GOOGLE"
"4034",1606.300049,1652.790039,1600.97998,1644.130005,2609400,1644.130005,"2020-08-26","GOOGLE"
"4035",1646.609985,1647.98999,1618.810059,1628.52002,1567500,1628.52002,"2020-08-27","GOOGLE"
"4036",1629.469971,1641.349976,1625.609985,1639.430054,1120900,1639.430054,"2020-08-28","GOOGLE"
"4037",1643.569946,1644.5,1625.329956,1629.530029,1321100,1629.530029,"2020-08-31","GOOGLE"
"4038",1632.160034,1659.219971,1629.530029,1655.079956,1132600,1655.079956,"2020-09-01","GOOGLE"
"4039",1668.01001,1726.099976,1660.189941,1717.390015,2476100,1717.390015,"2020-09-02","GOOGLE"
"4040",1699.52002,1700,1607.709961,1629.51001,3186300,1629.51001,"2020-09-03","GOOGLE"
"4041",1609,1634.98999,1537.969971,1581.209961,2792500,1581.209961,"2020-09-04","GOOGLE"
"4042",1525,1555.550049,1516.5,1523.599976,2701600,1523.599976,"2020-09-08","GOOGLE"
"4043",1548.900024,1558.719971,1525.170044,1547.22998,1962100,1547.22998,"2020-09-09","GOOGLE"
"4044",1550.180054,1573.660034,1520,1526.050049,1651200,1526.050049,"2020-09-10","GOOGLE"
"4045",1528.150024,1538.699951,1493.02002,1515.76001,1535300,1515.76001,"2020-09-11","GOOGLE"
"4046",1531.650024,1557,1505.109985,1508.829956,2133000,1508.829956,"2020-09-14","GOOGLE"
"4047",1527.890015,1550.98999,1522.099976,1535.119995,1152100,1535.119995,"2020-09-15","GOOGLE"
"4048",1542.47998,1554.369995,1511.589966,1512.089966,1106400,1512.089966,"2020-09-16","GOOGLE"
"4049",1485.810059,1498.660034,1462.459961,1487.040039,2000400,1487.040039,"2020-09-17","GOOGLE"
"4050",1488.300049,1495.199951,1431.619995,1451.089966,3152800,1451.089966,"2020-09-18","GOOGLE"
"4051",1431.619995,1440.060059,1402.680054,1430.140015,2845400,1430.140015,"2020-09-21","GOOGLE"
"4052",1450.319946,1463.969971,1429.5,1459.819946,1697500,1459.819946,"2020-09-22","GOOGLE"
"4053",1452.089966,1453.079956,1402.680054,1409.390015,1886300,1409.390015,"2020-09-23","GOOGLE"
"4054",1402.680054,1437.98999,1402.150024,1422.859985,1727600,1422.859985,"2020-09-24","GOOGLE"
"4055",1425.050049,1445.939941,1407.680054,1439.060059,1516300,1439.060059,"2020-09-25","GOOGLE"
"4056",1471.98999,1472.98999,1446.280029,1458.660034,1539200,1458.660034,"2020-09-28","GOOGLE"
"4057",1463.910034,1472,1454,1466.02002,1590800,1466.02002,"2020-09-29","GOOGLE"
"4058",1460.939941,1486.199951,1455.76001,1465.599976,2046200,1465.599976,"2020-09-30","GOOGLE"
"4059",1483.660034,1495.069946,1476.800049,1487.900024,1644200,1487.900024,"2020-10-01","GOOGLE"
"4060",1459.630005,1479.030029,1447.349976,1455.599976,1561100,1455.599976,"2020-10-02","GOOGLE"
"4061",1462.650024,1484.699951,1460.089966,1482.829956,1080100,1482.829956,"2020-10-05","GOOGLE"
"4062",1475.5,1484.52002,1445.01001,1451.02002,1304800,1451.02002,"2020-10-06","GOOGLE"
"4063",1459.310059,1468.969971,1433.22998,1459.140015,1805400,1459.140015,"2020-10-07","GOOGLE"
"4064",1465.449951,1488.030029,1465.449951,1483.430054,1303800,1483.430054,"2020-10-08","GOOGLE"
"4065",1492.859985,1511.849976,1487,1510.449951,1648300,1510.449951,"2020-10-09","GOOGLE"
"4066",1538,1588.420044,1529.300049,1564.589966,2767200,1564.589966,"2020-10-12","GOOGLE"
"4067",1577.01001,1585.160034,1558.630005,1567.069946,1953600,1567.069946,"2020-10-13","GOOGLE"
"4068",1574.599976,1583.849976,1545.900024,1563.439941,1658700,1563.439941,"2020-10-14","GOOGLE"
"4069",1544.5,1571.400024,1541.130005,1555.469971,1560500,1555.469971,"2020-10-15","GOOGLE"
"4070",1561.829956,1577.709961,1557.660034,1567.699951,1709700,1567.699951,"2020-10-16","GOOGLE"
"4071",1575.930054,1583.930054,1522.920044,1529.949951,1486700,1529.949951,"2020-10-19","GOOGLE"
"4072",1523.109985,1573.839966,1520.5,1551.079956,2083500,1551.079956,"2020-10-20","GOOGLE"
"4073",1569.849976,1615.140015,1567.140015,1585.98999,3016100,1585.98999,"2020-10-21","GOOGLE"
"4074",1585,1613.420044,1577.47998,1606.660034,1525600,1606.660034,"2020-10-22","GOOGLE"
"4075",1615.050049,1634.119995,1611.910034,1632.97998,1527400,1632.97998,"2020-10-23","GOOGLE"
"4076",1615,1629.579956,1567.780029,1584.290039,1791300,1584.290039,"2020-10-26","GOOGLE"
"4077",1588.930054,1602,1576.98999,1598.880005,1295100,1598.880005,"2020-10-27","GOOGLE"
"4078",1550.01001,1553.810059,1508.47998,1510.800049,2258700,1510.800049,"2020-10-28","GOOGLE"
"4079",1517.02002,1588.73999,1516.550049,1556.880005,2770300,1556.880005,"2020-10-29","GOOGLE"
"4080",1667.439941,1681.319946,1601.569946,1616.109985,4993900,1616.109985,"2020-10-30","GOOGLE"
"4081",1623.540039,1658.23999,1614.23999,1624.319946,2211400,1624.319946,"2020-11-02","GOOGLE"
"4082",1630.76001,1659,1612.109985,1645.660034,1571600,1645.660034,"2020-11-03","GOOGLE"
"4083",1705.579956,1770.030029,1703,1745.849976,3567100,1745.849976,"2020-11-04","GOOGLE"
"4084",1770.449951,1791.819946,1741.030029,1762.5,1987900,1762.5,"2020-11-05","GOOGLE"
"4085",1751.339966,1768.5,1736.680054,1759.72998,1431100,1759.72998,"2020-11-06","GOOGLE"
"4086",1795.97998,1816.890015,1757.550049,1761.420044,2672000,1761.420044,"2020-11-09","GOOGLE"
"4087",1729.77002,1759.380005,1716.119995,1737.719971,2151100,1737.719971,"2020-11-10","GOOGLE"
"4088",1748.400024,1762.900024,1743.060059,1747.22998,1591900,1747.22998,"2020-11-11","GOOGLE"
"4089",1742,1764.97998,1737.969971,1742.819946,1323700,1742.819946,"2020-11-12","GOOGLE"
"4090",1748,1777.130005,1735.97998,1772.26001,1487200,1772.26001,"2020-11-13","GOOGLE"
"4091",1764.140015,1794.339966,1761.329956,1774.030029,1273400,1774.030029,"2020-11-16","GOOGLE"
"4092",1767.859985,1777.140015,1759.48999,1761.660034,1065700,1761.660034,"2020-11-17","GOOGLE"
"4093",1756.640015,1765,1738.569946,1740.640015,1005400,1740.640015,"2020-11-18","GOOGLE"
"4094",1733.22998,1763.48999,1730.02002,1758.569946,1005300,1758.569946,"2020-11-19","GOOGLE"
"4095",1762,1768.359985,1735,1736.380005,1384700,1736.380005,"2020-11-20","GOOGLE"
"4096",1740.219971,1745.98999,1710.180054,1727.560059,1126500,1727.560059,"2020-11-23","GOOGLE"
"4097",1727.5,1766.47998,1720.72998,1763.900024,1399200,1763.900024,"2020-11-24","GOOGLE"
"4098",1767.810059,1770.380005,1748.359985,1764.130005,980000,1764.130005,"2020-11-25","GOOGLE"
"4099",1764.540039,1797.01001,1764.540039,1787.02002,739500,1787.02002,"2020-11-27","GOOGLE"
"4100",1775.650024,1780.339966,1747.839966,1754.400024,1620900,1754.400024,"2020-11-30","GOOGLE"
