"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","AAPL.Date","Company.Name"
"4654",45.955002,46.825001,45.855,46.794998,70925200,45.177204,"2018-07-02","APPLE"
"4655",46.947498,46.987499,45.884998,45.98,55819200,44.390377,"2018-07-03","APPLE"
"4656",46.314999,46.602501,46.07,46.349998,66416800,44.747593,"2018-07-05","APPLE"
"4657",46.355,47.107498,46.299999,46.9925,69940800,45.367882,"2018-07-06","APPLE"
"4658",47.375,47.669998,47.325001,47.645,79026400,45.997818,"2018-07-09","APPLE"
"4659",47.677502,47.82,47.544998,47.587502,63756400,45.94231,"2018-07-10","APPLE"
"4660",47.125,47.445,46.9025,46.970001,75326000,45.346146,"2018-07-11","APPLE"
"4661",47.3825,47.852501,47.327499,47.7575,72164400,46.106426,"2018-07-12","APPLE"
"4662",47.77,47.959999,47.724998,47.8325,50055600,46.178841,"2018-07-13","APPLE"
"4663",47.880001,48.162498,47.605,47.727501,60172400,46.077465,"2018-07-16","APPLE"
"4664",47.4375,47.967499,47.299999,47.862499,62138000,46.207798,"2018-07-17","APPLE"
"4665",47.945,47.950001,47.482498,47.599998,65573600,45.954369,"2018-07-18","APPLE"
"4666",47.422501,48.137501,47.422501,47.970001,81147200,46.311588,"2018-07-19","APPLE"
"4667",47.945,48.107498,47.5425,47.860001,82704800,46.205387,"2018-07-20","APPLE"
"4668",47.669998,47.990002,47.389999,47.9025,63957600,46.246422,"2018-07-23","APPLE"
"4669",48.112499,48.415001,48.012501,48.25,74791600,46.581902,"2018-07-24","APPLE"
"4670",48.264999,48.712502,48.107498,48.705002,66839600,47.021172,"2018-07-25","APPLE"
"4671",48.6525,48.990002,48.4025,48.552502,76304000,46.873947,"2018-07-26","APPLE"
"4672",48.747501,48.797501,47.525002,47.744999,96096000,46.09436,"2018-07-27","APPLE"
"4673",47.974998,48.049999,47.267502,47.477501,84118000,45.836109,"2018-07-30","APPLE"
"4674",47.575001,48.035,47.334999,47.572498,157492000,45.927818,"2018-07-31","APPLE"
"4675",49.782501,50.439999,49.327499,50.375,271742800,48.633434,"2018-08-01","APPLE"
"4676",50.145,52.095001,50.087502,51.8475,249616000,50.055027,"2018-08-02","APPLE"
"4677",51.7575,52.185001,51.369999,51.997501,133789600,50.199848,"2018-08-03","APPLE"
"4678",52,52.3125,51.767502,52.267502,101701600,50.460499,"2018-08-06","APPLE"
"4679",52.330002,52.375,51.689999,51.7775,102349600,49.987446,"2018-08-07","APPLE"
"4680",51.512501,51.952499,51.130001,51.8125,90102000,50.021236,"2018-08-08","APPLE"
"4681",52.3825,52.445,51.799999,52.220001,93970400,50.414658,"2018-08-09","APPLE"
"4682",51.84,52.275002,51.6675,51.8825,98444800,50.264488,"2018-08-10","APPLE"
"4683",52.327499,52.737499,51.924999,52.217499,103563600,50.589043,"2018-08-13","APPLE"
"4684",52.540001,52.639999,52.064999,52.4375,82992000,50.802181,"2018-08-14","APPLE"
"4685",52.305,52.685001,52.0825,52.560001,115230400,50.92086,"2018-08-15","APPLE"
"4686",52.9375,53.452499,52.8675,53.330002,114001600,51.666843,"2018-08-16","APPLE"
"4687",53.360001,54.487499,53.290001,54.395,141708000,52.698639,"2018-08-17","APPLE"
"4688",54.525002,54.794998,53.7775,53.865002,121150800,52.185158,"2018-08-20","APPLE"
"4689",54.200001,54.297501,53.5075,53.759998,104639200,52.083431,"2018-08-21","APPLE"
"4690",53.525002,54.09,53.459999,53.762501,76072400,52.085857,"2018-08-22","APPLE"
"4691",53.662498,54.262501,53.650002,53.872501,75532800,52.192425,"2018-08-23","APPLE"
"4692",54.150002,54.224998,53.7775,54.040001,73905600,52.354706,"2018-08-24","APPLE"
"4693",54.287498,54.685001,54.0825,54.485001,82100400,52.785824,"2018-08-27","APPLE"
"4694",54.752499,55.134998,54.73,54.924999,91107200,53.212097,"2018-08-28","APPLE"
"4695",55.037498,55.872501,54.852501,55.744999,109019200,54.006531,"2018-08-29","APPLE"
"4696",55.8125,57.064999,55.599998,56.2575,195175200,54.503044,"2018-08-30","APPLE"
"4697",56.627499,57.217499,56.5,56.907501,173360400,55.132778,"2018-08-31","APPLE"
"4698",57.102501,57.294998,56.657501,57.09,109560400,55.309586,"2018-09-04","APPLE"
"4699",57.247501,57.4175,56.275002,56.717499,133332000,54.948704,"2018-09-05","APPLE"
"4700",56.557499,56.837502,55.325001,55.775002,137160000,54.035599,"2018-09-06","APPLE"
"4701",55.462502,56.342499,55.177502,55.325001,150479200,53.599628,"2018-09-07","APPLE"
"4702",55.237499,55.462502,54.1175,54.5825,158066000,52.880283,"2018-09-10","APPLE"
"4703",54.502499,56.075001,54.139999,55.962502,142996000,54.217243,"2018-09-11","APPLE"
"4704",56.235001,56.25,54.959999,55.267502,197114800,53.543922,"2018-09-12","APPLE"
"4705",55.880001,57.087502,55.642502,56.602501,166825600,54.837296,"2018-09-13","APPLE"
"4706",56.4375,56.709999,55.630001,55.959999,127997200,54.214817,"2018-09-14","APPLE"
"4707",55.537498,55.737499,54.317501,54.470001,148780400,52.771297,"2018-09-17","APPLE"
"4708",54.447498,55.462502,54.279999,54.560001,126286800,52.858486,"2018-09-18","APPLE"
"4709",54.625,54.904999,53.825001,54.592499,108495200,52.889973,"2018-09-19","APPLE"
"4710",55.060001,55.57,54.787498,55.0075,106435200,53.29203,"2018-09-20","APPLE"
"4711",55.195,55.34,54.322498,54.415001,384986800,52.718006,"2018-09-21","APPLE"
"4712",54.205002,55.314999,54.157501,55.197498,110773600,53.476105,"2018-09-24","APPLE"
"4713",54.9375,55.705002,54.924999,55.547501,98217600,53.815189,"2018-09-25","APPLE"
"4714",55.25,55.9375,54.939999,55.105,95938800,53.38649,"2018-09-26","APPLE"
"4715",55.955002,56.610001,55.884998,56.237499,120724800,54.483665,"2018-09-27","APPLE"
"4716",56.197498,56.459999,56.005001,56.435001,91717600,54.675014,"2018-09-28","APPLE"
"4717",56.987499,57.355,56.587502,56.814999,94403200,55.043159,"2018-10-01","APPLE"
"4718",56.8125,57.5,56.657501,57.32,99152800,55.532406,"2018-10-02","APPLE"
"4719",57.512501,58.3675,57.445,58.017502,114619200,56.208157,"2018-10-03","APPLE"
"4720",57.695,58.087502,56.682499,56.997501,128168000,55.219975,"2018-10-04","APPLE"
"4721",56.990002,57.102501,55.145,56.072498,134322000,54.323814,"2018-10-05","APPLE"
"4722",55.552502,56.200001,55.049999,55.942501,118655600,54.197876,"2018-10-08","APPLE"
"4723",55.91,56.817501,55.5625,56.717499,107564000,54.948704,"2018-10-09","APPLE"
"4724",56.365002,56.587502,54.012501,54.09,167962400,52.403141,"2018-10-10","APPLE"
"4725",53.630001,54.875,53.080002,53.612499,212497600,51.940533,"2018-10-11","APPLE"
"4726",55.105,55.720001,54.209999,55.5275,161351600,53.795811,"2018-10-12","APPLE"
"4727",55.290001,55.4575,54.317501,54.34,123164000,52.645344,"2018-10-15","APPLE"
"4728",54.732498,55.747501,54.189999,55.537498,116736000,53.8055,"2018-10-16","APPLE"
"4729",55.575001,55.66,54.834999,55.297501,91541600,53.572983,"2018-10-17","APPLE"
"4730",54.465,54.935001,53.25,54.005001,130325200,52.320789,"2018-10-18","APPLE"
"4731",54.514999,55.314999,54.357498,54.827499,132314800,53.117641,"2018-10-19","APPLE"
"4732",54.947498,55.84,54.735001,55.162498,115168400,53.442192,"2018-10-22","APPLE"
"4733",53.9575,55.8125,53.674999,55.682499,155071200,53.945976,"2018-10-23","APPLE"
"4734",55.650002,56.057499,53.634998,53.772499,163702000,52.095535,"2018-10-24","APPLE"
"4735",54.427502,55.345001,54.1875,54.950001,119423200,53.23632,"2018-10-25","APPLE"
"4736",53.974998,55.047501,53.1675,54.075001,189033600,52.388611,"2018-10-26","APPLE"
"4737",54.797501,54.922501,51.522499,53.060001,183742000,51.405266,"2018-10-29","APPLE"
"4738",52.787498,53.794998,52.317501,53.325001,146640000,51.661999,"2018-10-30","APPLE"
"4739",54.220001,55.112499,54.154999,54.715,153435600,53.008644,"2018-10-31","APPLE"
"4740",54.762501,55.59,54.202499,55.555,233292800,53.82246,"2018-11-01","APPLE"
"4741",52.387501,53.412498,51.357498,51.869999,365314800,50.252365,"2018-11-02","APPLE"
"4742",51.075001,51.0975,49.5425,50.397499,264654800,48.82579,"2018-11-05","APPLE"
"4743",50.48,51.18,50.422501,50.942501,127531600,49.353798,"2018-11-06","APPLE"
"4744",51.4925,52.514999,51.032501,52.487499,133697600,50.85062,"2018-11-07","APPLE"
"4745",52.494999,52.529999,51.6875,52.122501,101450400,50.673195,"2018-11-08","APPLE"
"4746",51.387501,51.502499,50.5625,51.1175,137463200,49.696144,"2018-11-09","APPLE"
"4747",49.75,49.962502,48.447498,48.5425,204542000,47.192734,"2018-11-12","APPLE"
"4748",47.907501,49.294998,47.862499,48.057499,187531600,46.721222,"2018-11-13","APPLE"
"4749",48.474998,48.619999,46.482498,46.700001,243204000,45.401482,"2018-11-14","APPLE"
"4750",47.0975,47.9925,46.724998,47.852501,185915200,46.521931,"2018-11-15","APPLE"
"4751",47.625,48.7425,47.365002,48.3825,147713200,47.037186,"2018-11-16","APPLE"
"4752",47.5,47.674999,46.247501,46.465,167701200,45.173004,"2018-11-19","APPLE"
"4753",44.592499,45.3675,43.877499,44.244999,271300800,43.014725,"2018-11-20","APPLE"
"4754",44.932499,45.067501,44.137501,44.195,124496800,42.966125,"2018-11-21","APPLE"
"4755",43.735001,44.150002,43.025002,43.072498,94496000,41.874836,"2018-11-23","APPLE"
"4756",43.560001,43.737499,42.564999,43.654999,179994000,42.441139,"2018-11-26","APPLE"
"4757",42.877499,43.692501,42.720001,43.560001,165549600,42.348782,"2018-11-27","APPLE"
"4758",44.182499,45.322498,43.732498,45.235001,184250000,43.9772,"2018-11-28","APPLE"
"4759",45.665001,45.700001,44.424999,44.887501,167080000,43.639366,"2018-11-29","APPLE"
"4760",45.072498,45.0825,44.2575,44.645,158126000,43.403614,"2018-11-30","APPLE"
"4761",46.115002,46.235001,45.302502,46.205002,163210000,44.920231,"2018-12-03","APPLE"
"4762",45.237499,45.5975,44.067501,44.172501,165377200,42.944256,"2018-12-04","APPLE"
"4763",42.939999,43.695,42.605,43.68,172393600,42.465439,"2018-12-06","APPLE"
"4764",43.372501,43.622501,42.075001,42.122501,169126400,40.951252,"2018-12-07","APPLE"
"4765",41.25,42.522499,40.8325,42.400002,248104000,41.221035,"2018-12-10","APPLE"
"4766",42.915001,42.947498,41.75,42.157501,189126800,40.985275,"2018-12-11","APPLE"
"4767",42.599998,42.98,42.255001,42.275002,142510800,41.099506,"2018-12-12","APPLE"
"4768",42.622501,43.142502,42.387501,42.737499,127594400,41.549149,"2018-12-13","APPLE"
